"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Scarborough Toronto","Scarborough Town Centre, 300 Borough Drive, ","Scarborough, On, ","45P","M1P 45P","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Sherbrooke","CARREFOUR DE L'ESTRIE  3000 BOUL. DE PORTLAND","SHERBROOKE","QC","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Sherway","CARREFOUR DE L'ESTRIE  3000 BOUL. DE PORTLAND","Etobicoke","QC","M9C 1B8","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop South Centre Calgary","100 Anderson Road Se, ","South Centre Mall, ","Calgary","T2J 3V1","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Southgate Centre The Bay","150-5015 111th Street  Edmonton","Alberta","Ab","T6h 4m6","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Square One","150-5015 111th Street  Edmonton","Mississauga","Ab","L5B 2C9","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop St Bruno","LES PROMENADES SAIN-BRUNO  800 BOUL DES PROMENADES","ST-BRUNO","QC","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop St. Albert","ST. ALBERT CENTRE  375 ST. ALBERT TRAIL","ST. ALBERT","AB","T8N 3K8","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop St.Laurent","ST. LAURENT CENTER  1200 ST. LAUREN BOUL","OTTAWA","ON","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop St.Vital","ST. VITAL CENTRE  1225 ST. MARY'S ROAD","WINNIPEG","MB","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Sunridge","SUNRIDGE MALL  2525 36 STREET NE","CALGARY","AB","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Sydney","MAYFLOWER SHOPPING MALL  800 GRAND LAKE ROAD","SYDNEY","NS","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Temp Calagary Dtn","Hudson's Bay - Calgary Downtown, 200-8th Avenue S.w.","<MISSING>","<MISSING>","T2P 1B5","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop The Bay Website","100 Metropolitan Rd, Scarborough, ON, ","M1R 2T6","<MISSING>","M1R 2T6","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
