locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,naics_code,latitude,longitude,hours_of_operation
shopnsavefood.com,,560 Route 88 ,Carmichaels,PA,15320,US,33,,,,39.881091,-79.967229,
shopnsavefood.com,,799 Castle Shannon Blvd ,Pittsburgh,PA,15234,US,85,,,,40.368569,-80.028126,
shopnsavefood.com,,3505 Library Road,Castle Shannon,PA,15234,US,144,,Gas Station,,40.366413,-80.0145257,
shopnsavefood.com,,3646 Library Road,Castle Shannon,PA,15234,US,345,,Gas Station,,"40.365042
","-80.0200782
",
shopnsavefood.com,,3232 Millers Run Road (Winkle's Pit Stop),Cecil,PA,15321,US,145,,Gas Station,,40.3270248,-80.1911507,
shopnsavefood.com,,2381 Mountain View Drive ,West Mifflin,PA,15122,US,112,,,,40.346544,-79.943604,
shopnsavefood.com,,1001 Pittsburgh Street,Cheswick,PA,15024,US,146,,Gas Station,,40.43443,-80.02481,
shopnsavefood.com,,"""15389 Route 286, Highway W""",Clarksburg,PA,15725,US,147,,Gas Station,,40.5355325,-79.3771621,
shopnsavefood.com,,6700 University Blvd,Coraopolis,PA,15108,US,238,,Gas Station,,40.46926,-80.14022,
shopnsavefood.com,,7 West Second St.,Coudersport,PA,16915,US,37,,,,41.774624,-78.02222,
shopnsavefood.com,,226 Roosevelt Way,Crabtree,PA,15670,US,150,,Gas Station,,40.363528,-79.468942,
shopnsavefood.com,,113 Noble Avenue,Pittsburgh,PA,15205,US,151,,Gas Station,,40.4348262,-80.0655022,
shopnsavefood.com,,2373 Noblestown Road,Pittsburgh,PA,15205,US,152,,Gas Station,,40.4322,-80.1021,
shopnsavefood.com,,1197 Freedom Road,Cranberry Twp.,PA,16066,US,38,,,,40.682677,-80.117716,
shopnsavefood.com,,1165 Freedom,Cranberry,PA,16066,US,283,,Gas Station,,40.682667,-80.127353,
shopnsavefood.com,,1213 Second Avenue ,Cresson,PA,16630,US,39,,,,40.459618,-78.591481,
shopnsavefood.com,,371 Williams Avenue ,Davis,WV,26260,US,40,,,,39.045186,-79.405575,
shopnsavefood.com,,24586 Garrett Highway,McHenry,MD,21541,US,62,,,,39.561815,-79.357531,
shopnsavefood.com,,2394 St Rte 66,Delmont,PA,15626,US,153,,Gas Station,,40.36131,-79.57142,
shopnsavefood.com,,5556 Route 982,Derry,PA,15627,US,154,,Gas Station,,40.35022,-79.40205,
shopnsavefood.com,,529 North Main Street ,Hubbard,OH,44425,US,57,,,,41.163536,-80.568967,
shopnsavefood.com,,3100 West Liberty Avenue,Dormont,PA,15216,US,155,,Gas Station,,40.3916034,-80.0389877,
shopnsavefood.com,,1701 Dual Highway,Hagerstown,MD,21740,US,324,,Gas Station,,39.615847,-77.692959,
shopnsavefood.com,,825 Duquesne Boulevard,Duquesne,PA,15110,US,156,,Gas Station,,40.37206,-79.85382,
shopnsavefood.com,,121 N Negley Avenue,Pittsburgh,PA,15203,US,157,,Gas Station,,40.464328,-79.930481,
shopnsavefood.com,,514 N Highland Ave,Pittsburgh,PA,15206,US,158,,Gas Station,,40.4662891,-79.9223366,
shopnsavefood.com,,Route 30 & Centre,Pittsburgh,PA,15112,US,160,,Gas Station,,40.43443,-80.02481,
shopnsavefood.com,,750 Ohio River Blvd.,Rochester,PA,15074,US,100,,,,40.699121,-80.272744,
shopnsavefood.com,,Rt. 989 & 2250 Conway Wallrose Run Rd.,Economy,PA,15005,US,161,,Gas Station,,40.61841,-80.2041,
shopnsavefood.com,,1513 Harrison Avenue ,Elkins,WV,26241,US,41,,,,38.931672,-79.86685,
shopnsavefood.com,,5690 William Penn Highway,Export,PA,15632,US,349,,Gas Station,,40.4130246,-79.6334408,
shopnsavefood.com,,58 West Church Street ,Fairchance,PA,15436,US,42,,,,39.820683,-79.754627,
shopnsavefood.com,,4142 National Pike,Farmington,PA,15437,US,163,,Gas Station,,39.79741,-79.59676,
shopnsavefood.com,,44 Genesee St.,Fillmore,NY,14735,US,45,,,,42.461634,-78.112364,
shopnsavefood.com,,151 North 13th St.,Franklin,PA,16323,US,277,,Gas Station,,41.404710,-79.832529,
shopnsavefood.com,,724 Fredrick St.,Hagerstown,MD,21740,US,325,,Gas Station,,39.628264,-77.715301,
shopnsavefood.com,,28 West Street,Galeton,PA,16922,US,47,,,,41.733949,-77.649951,
shopnsavefood.com,,18141 Garland Groh Blvd.,Hagerstown,MD,21742,US,326,,Gas Station,,39.662987,-77.744941,
shopnsavefood.com,,5600 Williams Flynn Highway,Gibsonia,PA,15044,US,164,,Gas Station,,40.43443,-80.02481,
shopnsavefood.com,,917 Butler Street,Pittsburgh,PA,15223,US,87,,,,40.511674,-79.948062,
shopnsavefood.com,,1020 Mt Royal Blvd,Pittsburgh,PA,15223,US,162,,Gas Station,,40.5174163,-79.9589694,
shopnsavefood.com,,1309 Shoemaker Avenue,Nanty Glo,PA,15943,US,70,,,,40.467601,-78.836324,
shopnsavefood.com,,10 Buffalo Street,Gowanda,NY,14070,US,49,,,,42.464436,-78.934793,
shopnsavefood.com,,57 Maple Avenue,Grafton,WV,26354,US,50,,,,39.337617,-80.024006,
shopnsavefood.com,,3249 Chestnut Ridge Road,Grantsville,MD,21536,US,51,,,,39.697347,-79.09873,
shopnsavefood.com,,31 Mt Pleasant Street,Greensburg,PA,15601,US,165,,Gas Station,,40.34701,-79.50072,
shopnsavefood.com,,311 W. Otterman Street,Greensburg,PA,15601,US,166,,Gas Station,,40.34701,-79.50072,
shopnsavefood.com,,5099 Route 30,Greensburg,PA,15601,US,167,,Gas Station,,40.34701,-79.50072,
shopnsavefood.com,,140 W Pittsburgh Street,Greensburg,PA,15601,US,168,,Gas Station,,40.34701,-79.50072,
shopnsavefood.com,,Humphrey & Todd Rds.,Greensburg,PA,15601,US,169,,Gas Station,,40.34701,-79.50072,
shopnsavefood.com,,202 S. Commerce Ave.,Front Royal,VA,22630,US,342,,Gas Station,,38.916128,-78.185292,
shopnsavefood.com,,992 Millwood Pike,Winchester,VA,22602,US,337,,Gas Station,,39.160273,-78.154505,
shopnsavefood.com,,1208 Berryville Ave.,Winchester,VA,22601,US,339,,Gas Station,,39.185491,-78.139929,
shopnsavefood.com,,1462 N. Fredrick Pike,Winchester,VA,22603,US,338,,Gas Station,,39.210364,-78.177820,
shopnsavefood.com,,760 Warriors Ave.,Stephens City,VA,22655,US,341,,Gas Station,,39.095492,-78.178237,
shopnsavefood.com,,1611 Senseny Rd.,Winchester,VA,22601,US,336,,Gas Station,,39.168635,-78.132815,
shopnsavefood.com,,2605 Valley Ave.,Winchester,VA,22601,US,340,,Gas Station,,39.155962,-78.187158,
shopnsavefood.com,,8153 John Mosby Hwy,Boyce,VA,22620,US,335,,Gas Station,,39.082226,-78.083824,
shopnsavefood.com,,1617 E Main St,Harrisville,WV,26362,US,54,,,,39.216029,-81.039619,
shopnsavefood.com,,4548 Broadway Blvd ,Monroeville,PA,15146,US,65,,,,40.39044,-79.765956,
shopnsavefood.com,,2100 Washington Pike ,Carnegie,PA,15106,US,34,,,,40.386926,-80.092413,
shopnsavefood.com,,Rt. 66 & 16th Street ,North Apollo,PA,15673,US,75,,,,40.594517,-79.560907,
shopnsavefood.com,,3331 Clay Pike,Herminie,PA,15637,US,352,,Gas Station,,40.2661321,-79.7208425,
shopnsavefood.com,,"2362 Route 286, Holiday Park Center",Pittsburgh,PA,15239,US,88,,,,40.462907,-79.705591,
shopnsavefood.com,,2907 Homestead Duquesne,Munhall,PA,15120,US,170,,Gas Station,,40.3913151,-79.8937517,
shopnsavefood.com,,2898 Westinghouse Road,Horseheads,NY,14845,US,56,,,,42.176079,-76.836319,
shopnsavefood.com,,541 Spring Street,Houtzdale,PA,16651,US,55,,,,40.826784,-78.343291,
shopnsavefood.com,,600 Market Place Drive ,Oakdale,PA,15071,US,78,,,,40.496309,-80.224915,
shopnsavefood.com,,12970 Route 30,Irwin,PA,15642,US,171,,Gas Station,,40.36502,-79.58406,
shopnsavefood.com,,9616 Route 30,Irwin,PA,15642,US,172,,Gas Station,,40.36502,-79.58406,
shopnsavefood.com,,1275 College Ave,Jeannette,PA,15644,US,173,,Gas Station,,40.37457,-79.40791,
