"page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","locator_domain","hours_of_operation","raw_address","record_id"
"<MISSING>","廣源邨","13號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","26357283","廣源邨","22.3808333","114.215","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","荃灣中心","94-98號 荃景圍","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","24055857","荃灣中心","22.3785816","114.1078291","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","翠林邨","將軍澳翠林邨翠林新城126號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","22094206","翠林邨","22.3226169","114.2494009","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","沙田商業中心","2號舖 及","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","21454123","沙田商業中心","22.3972442","114.1934135","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","彩明商場","271及272號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","34095352","彩明商場","22.3060752","114.2524067","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","茵怡花園","將軍澳茵怡花園地下1號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","29970007","茵怡花園","22.3214801","114.2561857","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","寶林邨","將軍澳寶林邨寶林商場地下103號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","22464575","寶林邨","22.3250831","114.2561675","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","興華邨","114號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","29769865","興華邨","22.263396","114.235071","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","駿景廣場","1號 駿景路","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","26348734","駿景廣場","22.3988826","114.2012944","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","新都城中心二期商場","1017號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","31945176","新都城中心二期商場","22.3233143","114.2581878","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","TKO Spot","216號舖 2樓","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","21780769","TKO Spot","22.3110182","114.2588317","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","海悅豪園","18號 培成路","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","22744106","海悅豪園","22.3148492","114.2657023","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","香港科技大學","香港科技大學學術樓Lg5餐廳","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","23580271","香港科技大學","22.3363998","114.2654655","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","藍灣半島","11B號舖 小西灣道28號","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","34074142","藍灣半島","22.266226","114.2508984","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","彌敦行","油麻地 彌敦道518-520號彌敦行地下A及C舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","23851611","彌敦行","22.3124053","114.1709903","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","錦泰苑","102號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","31248656","錦泰苑","22.4087594","114.2217721","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","頌安邨","馬鞍山頌安邨頌安商場6號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","26334380","頌安邨","22.421869","114.226598","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","新港城廣場","2138號舖 鞍祿街","沙田","新界","<MISSING>","<MISSING>","<MISSING>","26334460","新港城廣場","22.4241633","114.2314688","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","新達廣場","1樓 083-085號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","26529900","新達廣場","22.443554","114.169348","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","欽州街","78-86號地下","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","27284222","欽州街","22.3319566","114.161469","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","利安邨","304號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","26339576","利安邨","22.4264114","114.2409805","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","廣福邨","大埔廣福邨廣福商場P316號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","26535348","廣福邨","22.4485664","114.1741257","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","富善邨","大埔富善邨富善商場地下G25號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","26670558","富善邨","22.45402","114.174652","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","恆成大廈","恆成大廈地下B舖 九龍油麻地彌敦道363-373號","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","27804073","恆成大廈","22.3079182","114.1711064","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","窩仔街","B2及B3地舖 窩仔街","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","27840215","窩仔街","22.331304","114.170219","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","百誠大廈","31-37號","九龍","<MISSING>","<MISSING>","<MISSING>","<MISSING>","23325215","百誠大廈","22.3055248","114.1703865","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","美居中心","9-19號 州街","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","27283566","美居中心","22.3348181","114.1597737","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","愛民廣場","G38A號地下 忠孝街","九龍","<MISSING>","<MISSING>","<MISSING>","<MISSING>","27577891","愛民廣場","22.3121605","114.178795","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","幸福商場","111 舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","27583292","幸福商場","22.335339","114.154595","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","青山道","瑞麗閣地下及一樓 青山道212-214號","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","27088169","青山道","22.3368433","114.1586822","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","海聯廣場","2B 海聯廣場地下2A及","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","26763860","海聯廣場","22.500198","114.141608","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","山林道","The Wave 地下 一樓及二樓 九龍尖沙咀彌敦道 184 號","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","25575818","山林道","22.3030378","114.1720585","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","華樂大廈","地下","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","24591736","華樂大廈","22.3888073","113.9793187","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","上水名都商場","16號舖 至","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","26390646","上水名都商場","22.5012113","114.1316266","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","天平邨","上水天平邨天平商場地下122號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","26392254","天平邨","22.503554","114.1338055","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","彩園邨","上水彩園商場三樓R36及R37號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","26723936","彩園邨","22.5027345","114.1248779","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","屯門時代廣場","14號舖 及","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","24413628","屯門時代廣場","22.3922083","113.9758571","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","九龍公園","九龍公園 柯士甸道22號","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","23171527","九龍公園","22.301755","114.1705215","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
